0,1,2,target
24,56,1,(0.20126789808273315-0.039490651339292526j)
24,56,1,(0.19001227617263794+0.024119526147842407j)
24,56,1,(0.21524256467819214-0.04080800712108612j)
24,56,1,(0.16842088103294373+0.020521407946944237j)
24,56,1,(0.15890657901763916-0.017158590257167816j)
24,56,1,(0.21729332208633423-0.00604554358869791j)
24,56,1,(0.19286033511161804-0.020381968468427658j)
24,56,1,(0.17014233767986298+0.0026231082156300545j)
24,56,1,(0.21909624338150024+0.0167244840413332j)
24,56,1,(0.2209061235189438+0.008344708010554314j)
24,56,1,(0.21421362459659576-0.007935336790978909j)
24,56,1,(0.20731331408023834+0.03406387194991112j)
24,56,1,(0.1306740641593933+0.050050750374794006j)
24,56,1,(0.18573513627052307+0.007292718626558781j)
24,56,1,(0.22233833372592926+0.05265885591506958j)
24,56,1,(0.20900775492191315+0.003244645893573761j)
24,56,1,(0.22277969121932983-0.009148990735411644j)
24,56,1,(0.20539246499538422-0.02120038866996765j)
24,56,1,(0.19561722874641418-0.05230525881052017j)
24,56,1,(0.1684863418340683-0.018615305423736572j)
24,56,1,(0.20369558036327362-0.0182430911809206j)
24,56,1,(0.16052143275737762+0.020697221159934998j)
24,56,1,(0.2156846523284912+0.025429099798202515j)
24,56,1,(0.22099995613098145-0.010806301608681679j)
24,56,1,(0.18938316404819489-0.021343139931559563j)
24,56,1,(0.20358020067214966+0.005141410976648331j)
24,56,1,(0.1492164582014084-0.023351585492491722j)
24,56,1,(0.19902193546295166-0.014761213213205338j)
24,56,1,(0.18235649168491364+0.03549133986234665j)
24,56,1,(0.17235133051872253+0.008598815649747849j)
24,56,1,(0.20616008341312408-0.03972291946411133j)
24,56,1,(0.1888054460287094+0.012358670122921467j)
24,56,1,(0.2123284935951233+0.0055878907442092896j)
24,56,1,(0.19695934653282166+0.004313768818974495j)
24,56,1,(0.20548763871192932+0.0017688721418380737j)
24,56,1,(0.1616574227809906-0.0015209540724754333j)
24,56,1,(0.1556168794631958-0.018242839723825455j)
24,56,1,(0.12094563245773315-0.0048500788398087025j)
24,56,1,(0.18981212377548218+0.015218396671116352j)
24,56,1,(0.1778572052717209-0.0016972031444311142j)
72,82,1,(-0.20665243268013+0.04815772920846939j)
72,82,1,(-0.13407084345817566+0.01743626408278942j)
72,82,1,(-0.26197007298469543+0.07898255437612534j)
72,82,1,(-0.14205209910869598-0.012379189021885395j)
72,82,1,(-0.19234497845172882+0.08521324396133423j)
72,82,1,(-0.12538771331310272+0.022280912846326828j)
72,82,1,(-0.16063475608825684+0.033267613500356674j)
72,82,1,(-0.19118455052375793+0.08885793387889862j)
72,82,1,(-0.17391616106033325+0.009779112413525581j)
72,82,1,(-0.17246103286743164-0.016236577183008194j)
72,82,1,(-0.17014376819133759+0.025212328881025314j)
72,82,1,(-0.18129962682724+0.01990055851638317j)
72,82,1,(-0.16129501163959503+0.05830366909503937j)
72,82,1,(-0.1592937409877777+0.10294041037559509j)
72,82,1,(-0.185641348361969+0.0028564464300870895j)
72,82,1,(-0.19580282270908356-0.016980186104774475j)
